fecha,Volumen
2017-05-01,25.915
2017-05-02,11.603
2017-05-03,9
2017-05-04,12
2017-05-05,13.7
2017-05-06,37.77
2017-05-07,20.55
2017-05-08,8.8
2017-05-09,6.6
2017-05-10,63.55
2017-05-11,8
2017-05-12,11.9
2017-05-13,32.75
2017-05-14,35.2
2017-05-15,14.82
2017-05-16,4.5
2017-05-17,9
2017-05-18,11.75
2017-05-19,10.235
2017-05-20,29.4
2017-05-21,47.165
2017-05-22,5.25
2017-05-23,8.4
2017-05-24,11
2017-05-25,13.75
2017-05-26,13
2017-05-27,22.1
2017-05-28,40.95
2017-05-29,4.75
2017-05-30,8.25
2017-05-31,11
2017-06-01,18
2017-06-02,5
2017-06-03,21.5
2017-06-04,37.12
2017-06-05,7
2017-06-06,3.6
2017-06-07,14.45
2017-06-08,9
2017-06-09,9.28
2017-06-10,21.98
2017-06-11,37.262
2017-06-12,4
2017-06-13,5.75
2017-06-14,14.28
2017-06-15,5.142
2017-06-16,13.25
2017-06-17,26.753
2017-06-18,70.059
2017-06-19,3.75
2017-06-20,2.3
2017-06-21,7.6
2017-06-22,11.406
2017-06-23,9
2017-06-24,24.106
2017-06-25,23.72
2017-06-26,4.75
2017-06-27,12.32
2017-06-28,16
2017-06-29,24.87
2017-06-30,16
2017-07-01,13.14
2017-07-02,38.755
2017-07-03,7.86
2017-07-04,6.07
2017-07-05,14.5
2017-07-06,8
2017-07-07,26.551
2017-07-08,33.003
2017-07-09,34.75
2017-07-10,6.25
2017-07-11,15.402
2017-07-12,10
2017-07-13,21
2017-07-14,12.045
2017-07-15,16.525
2017-07-16,34.36
2017-07-17,8.63
2017-07-18,6.46
2017-07-19,10.5
2017-07-20,12.105
2017-07-21,18.15
2017-07-22,24.35
2017-07-23,44.156
2017-07-24,4.75
2017-07-25,7.7
2017-07-26,15
2017-07-27,19.5
2017-07-28,11.583
2017-07-29,27.384
2017-07-30,34.309
2017-07-31,16.75
2017-08-01,3.695
2017-08-02,9.25
2017-08-03,19.756
2017-08-04,7.206
2017-08-05,34.203
2017-08-06,39.903
2017-08-07,13
2017-08-08,8
2017-08-09,7.9
2017-08-10,10.7
2017-08-11,7.4
2017-08-12,41.506
2017-08-13,46.85
2017-08-14,3.519
2017-08-15,10.5
2017-08-16,17
2017-08-17,26.35
2017-08-18,24
2017-08-19,31.653
2017-08-20,44.608
2017-08-21,9.405
2017-08-22,11.7537
2017-08-23,16.7
2017-08-24,11.753
2017-08-25,15.95
2017-08-26,42.2
2017-08-27,50.265
2017-08-28,10.95
2017-08-29,10.61
2017-08-30,25
2017-08-31,16.5
2017-09-01,24.807
2017-09-02,34.05
2017-09-03,56.335
2017-09-04,5.5
2017-09-05,8.251
2017-09-06,6.78
2017-09-07,13.5
2017-09-08,14.4
2017-09-09,45.604
2017-09-10,49.218
2017-09-11,9.55
2017-09-12,10.75
2017-09-13,17.5
2017-09-14,21.002
2017-09-15,14.1
2017-09-16,31.916
2017-09-17,51.575
2017-09-18,7.7
2017-09-19,7.25
2017-09-20,17.253
2017-09-21,9
2017-09-22,21.25
2017-09-23,30.65
2017-09-24,52.003
2017-09-25,4.102
2017-09-26,9.355
2017-09-27,16.95
2017-09-28,23.75
2017-09-29,15.7
2017-09-30,22.306
2017-10-01,46.466
2017-10-02,16.133
2017-10-04,21.82
2017-10-05,22.104
2017-10-06,8.8
2017-10-07,33.6
2017-10-08,27.85
2017-10-09,10.95
2017-10-10,11.7
2017-10-11,15.65
2017-10-12,11.753
2017-10-13,12.275
2017-10-14,38.22
2017-10-15,49.224
2017-10-16,6.95
2017-10-17,9.4
2017-10-18,15
2017-10-19,18.17
2017-10-20,13.147
2017-10-21,40.53
2017-10-22,41.052
2017-10-23,7
2017-10-24,6.75
2017-10-25,23.25
2017-10-26,15.75
2017-10-27,12
2017-10-28,31.306
2017-10-29,47.452
2017-10-30,5
2017-10-31,17
2017-11-01,20.1
2017-11-02,29.205
2017-11-03,12
2017-11-04,35.586
2017-11-05,41.556
2017-11-06,11.05
2017-11-07,12.15
2017-11-08,18.35
2017-11-09,19.5
2017-11-10,14
2017-11-11,28.05
2017-11-12,58.665
2017-11-13,6.853
2017-11-14,9.83
2017-11-15,12.853
2017-11-16,34.55
2017-11-17,19.927
2017-11-18,31.4
2017-11-19,54.15
2017-11-20,27.75
2017-11-21,8.46377
2017-11-22,14.25
2017-11-23,15.6
2017-11-24,15.154
2017-11-25,32.4
2017-11-26,60.903
2017-11-27,11
2017-11-28,9.3
2017-11-29,20
2017-11-30,20.101
2017-12-01,14.45
2017-12-02,26.415
2017-12-03,48.406
2017-12-04,7.95
2017-12-05,5.8
2017-12-06,16
2017-12-07,24.92
2017-12-08,20.7
2017-12-09,28.353
2017-12-10,57.795
2017-12-11,7.5
2017-12-12,10.6
2017-12-13,15.056
2017-12-14,42.60601
2017-12-15,72.85976
2017-12-16,49.65
2017-12-17,67.275
2017-12-18,17.09301
2017-12-20,34.286
2017-12-21,27.35251
2017-12-22,28.94
2017-12-23,31.45
2017-12-24,10.6
2017-12-26,12.05
2017-12-27,20
2017-12-28,11.62
2017-12-29,26.25
2017-12-30,21.91551
2017-12-31,18.535
2018-01-02,20.75
2018-01-03,17.353
2018-01-04,18.5
2018-01-05,17.07128
2018-01-06,41.06502
2018-01-07,36.24753
2018-01-08,8.56
2018-01-09,7.25
2018-01-10,23.3
2018-01-11,25.9
2018-01-12,14.24
2018-01-13,31.25901
2018-01-14,46.103
2018-01-15,6
2018-01-16,10.83
2018-01-17,18
2018-01-18,19.40377
2018-01-19,25.65628
2018-01-20,38.05
2018-01-21,34.40754
2018-01-22,7.7
2018-01-23,9.815
2018-01-24,13.406
2018-01-25,17.5
2018-01-26,14.82775
2018-01-27,29.96186
2018-01-28,43.75742
2018-01-29,5
2018-01-30,7.6
2018-01-31,25.65694
2018-02-01,9.9677
2018-02-02,24.88
2018-02-03,37.3477
2018-02-04,45.735
2018-02-05,15.04847
2018-02-06,9.4527
2018-02-07,14.417
2018-02-08,11.14354
2018-02-09,14.7811
2018-02-10,28.4327
2018-02-11,41.13708
2018-02-12,5.4
2018-02-13,11.25
2018-02-14,24.28708
2018-02-15,23.46
2018-02-16,8.86124
2018-02-17,39.305
2018-02-18,39.9438
2018-02-19,11.215
2018-02-20,7.75
2018-02-21,21.7
2018-02-22,9.60993
2018-02-23,8
2018-02-24,27.935
2018-02-25,47.29617
2018-02-26,6.42847
2018-02-27,8.69617
2018-02-28,22.978
2018-03-01,23.2
2018-03-02,13.175
2018-03-03,37.333
2018-03-04,37.98709
2018-03-05,5.95
2018-03-06,8
2018-03-07,21.5
2018-03-08,20.86124
2018-03-09,8.05
2018-03-10,35.2177
2018-03-11,44.12033
2018-03-12,4.47847
2018-03-13,8.4677
2018-03-14,23.8
2018-03-15,27.50497
2018-03-16,3.4177
2018-03-17,30.6677
2018-03-18,37.0584
2018-03-19,32.52347
2018-03-20,3.5
2018-03-21,21.022
2018-03-22,14.17847
2018-03-23,3.1
2018-03-24,11.54234
2018-03-25,25.32847
2018-03-26,11.7177
2018-03-27,2.2177
2018-03-28,15.5
2018-03-31,16.01
2018-04-01,33.7284
2018-04-02,12.67416
2018-04-03,13.3177
2018-04-04,10.47847
2018-04-05,16.19617
2018-04-06,5.4
2018-04-07,43.1031
2018-04-08,50.725
2018-04-09,12.35
2018-04-10,6.295
2018-04-11,15.23541
2018-04-12,21.47847
2018-04-13,22.95647
2018-04-14,31.2177
2018-04-15,49.3
2018-04-16,12.99847
2018-04-17,9.75
2018-04-18,12.25
2018-04-19,14.7
2018-04-20,18.23923
2018-04-21,31.53457
2018-04-22,48.01284
2018-04-23,8.06986
2018-04-24,11.0527
2018-04-25,11
2018-04-26,22
2018-04-27,19.00117
2018-04-28,38.20694
2018-04-29,50.62541
2018-04-30,11.705
2018-05-01,37.11117
2018-05-02,17
2018-05-03,21.60694
2018-05-04,11.45
2018-05-05,28.5
2018-05-06,45.04
2018-05-07,9.15
2018-05-08,10.03708
2018-05-09,26.75
2018-05-10,63.7541
2018-05-11,18.935
2018-05-12,24.46
2018-05-13,54.77387
2018-05-14,5.88158
2018-05-15,12.62847
2018-05-16,16.40493
2018-05-17,12.95
2018-05-18,20
2018-05-19,29.25909
2018-05-20,48.28158
2018-05-21,6.35
2018-05-22,5.5634
2018-05-23,20.57416
2018-05-24,8.93
2018-05-25,13.95
2018-05-26,46.43616
2018-05-27,42.55
2018-05-28,6.25
2018-05-29,11.78923
2018-05-30,15.5
2018-05-31,17.8
2018-06-01,21.47847
2018-06-02,46.92
2018-06-03,45.8677
2018-06-04,12.4677
2018-06-05,15.07847
2018-06-06,15
2018-06-07,8.9
2018-06-08,25.19617
2018-06-09,22.27847
2018-06-10,54.63048
2018-06-11,12.5777
2018-06-12,5.17336
2018-06-13,33.25
2018-06-14,13.88668
2018-06-15,16.59338
2018-06-16,28.22336
2018-06-17,84.79584
2018-06-18,10.15502
2018-06-19,2
2018-06-20,8.81004
2018-06-21,8.61004
2018-06-22,8.02402
2018-06-23,25.88668
2018-06-24,32.39172
2018-06-25,10.25
2018-06-26,5.73668
2018-06-27,16.93668
2018-06-28,14.65502
2018-06-29,16.75
2018-06-30,38.1644
2018-07-01,26.08472
2018-07-02,6.5
2018-07-03,12.2
2018-07-04,33.01004
2018-07-05,13.65502
2018-07-06,13.25
2018-07-07,33.07668
2018-07-08,36.89183
2018-07-09,5
2018-07-10,9.96336
2018-07-11,27.43668
2018-07-12,15.31769
2018-07-13,16.55568
2018-07-14,18.1727
2018-07-15,44.96168
2018-07-16,9.72504
2018-07-17,5.87336
2018-07-18,17.25
2018-07-19,9.5
2018-07-20,12.85502
2018-07-21,25.24651
2018-07-22,49.6417
2018-07-23,7.25
2018-07-24,9.61437
2018-07-25,27.15502
2018-07-26,12.35
2018-07-27,10.65502
2018-07-28,33.29834
2018-07-29,31.12336
2018-07-30,9.3
2018-07-31,6
2018-08-01,18
2018-08-02,12.5
2018-08-03,21.0334
2018-08-04,21.58842
2018-08-05,46.91836
2018-08-06,6.93668
2018-08-07,14.30036
2018-08-08,14.95
2018-08-09,13.99002
2018-08-10,28.18434
